Hardware,Num of Hardware,Framework,Model,Input Length,Output Length,Image Size,Batch Size,Text Tokens,Image Tokens,Multimodal Tokens,Avg Latency,Multimodal Token Throughput,Multimodal Request Throughput
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,32,65536,33554432,33619968,4.927179333443443,6823370.071351577,6.49458804610553
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,128,64,16384,1048576,1064960,5.265014987283696,202271.02915606883,12.155710886782984
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,128,64,32768,1048576,1081344,6.427858370356262,168227.72651415263,9.956659949938011
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,128,64,65536,1048576,1114112,8.019540608860552,138924.66593024676,7.980507004265094
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,128,64,131072,1048576,1179648,9.588855096604675,123022.82056777587,6.674415178373256
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,256,64,16384,4194304,4210688,5.133574519306421,820225.3584056068,12.46694671701129
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,256,64,32768,4194304,4227072,5.816702908836305,726712.721321652,11.002796773886445
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,256,64,65536,4194304,4259840,11.669554999563843,365038.76970109093,5.484356515941871
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,256,64,131072,4194304,4325376,9.148576143663377,472792.26101166644,6.995624127184932
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,512,64,16384,16777216,16793600,5.360595901651929,3132786.038735891,11.938971184206903
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,512,64,32768,16777216,16809984,5.924438130731384,2837397.1723669213,10.802712187678642
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,512,64,65536,16777216,16842752,12.759857548711201,1319979.6263949035,5.015729976269545
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,512,64,131072,16777216,16908288,9.304702200461179,1817176.6957960199,6.878242701505041
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,128,128,1024,64,16384,67108864,67125248,5.547776101933171,12099487.57243639,11.536154095638185
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,256,256,1024,64,32768,67108864,67141632,6.76489798957482,9925002.875648672,9.460600898731728
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,512,512,1024,64,65536,67108864,67174400,7.347189791345348,9142869.846526677,8.710813497071909
Nvidia A100 GPU,1,vLLM,llava-hf/llava-1.5-7b-hf,1024,1024,1024,64,131072,67108864,67239936,15.411942982735733,4362846.143106119,4.152623719909424


